docID,year,month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
0,1999,10,0.0,0.0,0.046903696,0.0,0.0,0.0,0.0,0.0,0.0,0.15553193,0.0,0.0,0.0,0.0,0.0,0.24550147,0.0,0.0,0.55206287,0.0
1,1999,10,0.0,0.0,0.0,0.4023191,0.36380765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1237215,0.11015176,0.0,0.0
2,1999,10,0.00028984484,0.35374084,0.0,0.12855649,0.51741284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1999,10,0.39721704,0.0,0.0,0.0,0.39648607,0.0,0.0,0.19281273,0.0,0.013484137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1999,10,0.0,0.036583897,0.0072772107,0.0,0.3383053,0.0,0.0,0.0,0.2863554,0.0,0.03338073,0.0,0.0,0.0,0.0,0.2381305,0.0,0.0,0.059967007,0.0
5,1999,10,0.0,0.15354297,0.0,0.0,0.028907044,0.30952716,0.0,0.0,0.12061764,0.0,0.0,0.0,0.0,0.00079639576,0.0,0.0,0.0095938165,0.0,0.3770149,0.0
6,1999,10,0.047591876,0.0,0.0,0.0,0.2759356,0.0,0.6150443,0.0,0.0,0.0058804415,0.0,0.0,0.028739743,0.0,0.0,0.0,0.0,0.0,0.026808113,0.0
7,1999,12,0.0,0.0,0.0,0.0,0.3008075,0.0,0.0,0.0,0.0,0.0,0.17280905,0.0,0.0,0.0,0.0,0.0,0.0,0.5094324,0.016951011,0.0
8,1999,12,0.13307148,0.0,0.0,0.0,0.3422927,0.0,0.052732974,0.0,0.0,0.0,0.37576357,0.0,0.09613936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1999,12,0.12860648,0.0,0.0,0.0,0.34914213,0.028583271,0.0,0.0,0.0,0.0,0.0,0.0,0.4059943,0.0,0.0,0.013904963,0.0,0.0,0.07376894,0.0
10,1999,12,0.0,0.0,0.0,0.24311097,0.019157726,0.0,0.0,0.0,0.24560095,0.0,0.0,0.0,0.0,0.24833904,0.1011666,0.0,0.0,0.0,0.14262469,0.0
11,1999,12,0.017184224,0.039432555,0.0,0.0,0.31284854,0.0,0.09853892,0.0,0.29425928,0.044616234,0.0,0.0,0.055884995,0.0,0.0,0.005217633,0.0,0.0,0.13201767,0.0
12,1999,12,0.0,0.04565208,0.0,0.0,0.0,0.44610703,0.0,0.43868172,0.0,0.0,0.0,0.0,0.0,0.0,0.06955919,0.0,0.0,0.0,0.0,0.0
13,1999,9,0.0,0.15251188,0.080645956,0.095945686,0.16919246,0.00949749,0.02338057,0.0,0.0,0.0,0.0,0.0,0.0,0.16413853,0.0,0.0,0.0,0.014449843,0.2902376,0.0
14,1999,9,0.0,0.0,0.0,0.027775273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11289762,0.0,0.0,0.0,0.0,0.8593271,0.0,0.0,0.0
15,1999,9,0.0,0.4224392,0.0,0.0,0.096930735,0.0,0.0,0.054998625,0.0,0.1254903,0.0,0.11351489,0.03296698,0.0,0.06465173,0.0,0.0,0.0,0.0,0.08900758
16,1999,9,0.11461536,0.0,0.07443418,0.0,0.25168633,0.0,0.14912374,0.017874755,0.0,0.015501675,0.0,0.0,0.13846168,0.0,0.0,0.17978305,0.0,0.0052934345,0.0016556038,0.051570237
17,1999,11,0.0,0.0,0.0,0.10982639,0.6618714,0.0,0.07202966,0.0,0.0,0.0,0.0,0.0,0.15627253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1999,11,0.15717685,0.0,0.0,0.0,0.2930163,0.0,0.11792626,0.0,0.29697773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113048535,0.0,0.0,0.123597875
19,1999,11,0.0,0.12604186,0.03657825,0.0,0.47014788,0.0,0.0,0.0,0.0,0.0,0.0,0.068516746,0.15143117,0.14728412,0.0,0.0,0.0,0.0,0.0,0.0
20,1999,11,0.2938532,0.0,0.0,0.0,0.34115514,0.0,0.301199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063792676
21,1999,11,0.0,0.0,0.0,0.21358626,0.0,0.0,0.0,0.0,0.0,0.0,0.5570968,0.0,0.0,0.0,0.0,0.0,0.22931701,0.0,0.0,0.0
22,1999,8,0.043038025,0.007793836,0.0,0.0,0.03433722,0.0,0.040288605,0.0,0.04053138,0.08051635,0.014674299,0.0,0.121780306,0.0,0.0,0.0,0.0,0.53035975,0.08668021,0.0
23,2000,1,0.0,0.0,0.0,0.40436667,0.15520337,0.0,0.20197025,0.0,0.063718796,0.0,0.0,0.0,0.17474087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2000,1,0.08704549,0.0,0.0,0.0,0.13691403,0.0,0.0,0.2857574,0.0,0.0,0.0,0.0,0.0,0.0,0.46287462,0.027408538,0.0,0.0,0.0,0.0
25,2000,1,0.084568076,0.0,0.028535658,0.0,0.10335401,0.0,0.30893567,0.0,0.0,0.0,0.0,0.033413988,0.40299124,0.0,0.0,0.038201354,0.0,0.0,0.0,0.0
26,2000,1,0.0,0.5112831,0.0,0.0,0.28899768,0.0,0.0,0.0,0.086341806,0.011164052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10221335
27,2000,1,0.0,0.0,0.0,0.0,0.0,0.3968126,0.0,0.0,0.0,0.53729755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022514608,0.04337528
28,2000,1,0.0,0.0,0.0,0.0,0.6109916,0.0,0.015302993,0.033444896,0.06802253,0.0,0.07416303,0.053406905,0.14466801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2000,6,0.0,0.161606,0.0,0.017802408,0.0,0.74273056,0.0,0.0,0.0,0.0,0.0,0.0,0.057984587,0.0,0.0,0.0,0.01987642,0.0,0.0,0.0
