year,month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,date
1999,8,1.7000000000000003e-05,1.7856712174848455,0.0007432724773869271,6.313388578917812,1.3188651657832342,3.1804131176114327,1.1872334994416784,0.24443494532813226,3.956378760328966,2.714560417074615,4.03327247790327,3.0154485822583865,0.0009302941249935506,2.020626475018975,1.0006017913861784,3.225346279422251,3.99410989625017,3.0287692385086995,3.4816287472474925,0.9919256461919131,10.44475706709147,3.2782627906379562,0.30817998072617436,7.662250757455261,2.0133573819849637,7.530666535491217,1.3340666220353363,3.4648018629519757,7.488626031473261,3.521937804932761,1.9017234364991586,5.363485974851598,5.981011031342468,2.068359982900185,2.386830356693486,9.882302018410725,2.8064141399618974,4.445404929541889,1.028891976314527,1.3737646948262132,3.6377553929988964,8.707718413001938,4.299975822948864,7.280093335629575,6.37998399002494,10.39012217534924,4.436176844421816,1.3017192079001934,3.4734581169950567,3.950631351243922,1999-08-11
1999,9,15.963679939320206,29.89632443022785,44.22602883631787,209.6093780279342,45.4044659175861,57.24015751198915,53.04561312401558,66.46157407539765,124.22313440081626,64.44956121524297,150.90601837097918,160.33059514806874,37.192036806871165,18.696112518624265,35.19185505847599,132.46117060629263,101.25396603100158,84.99026943965454,123.72944773181642,85.00923919356319,344.86850165632376,60.079345433238544,55.063542242330854,234.3137487955058,29.117897817672027,237.7744702267141,56.31631325175533,96.12115433117556,163.32869912788283,46.743131599995166,69.56946160401233,73.49798750097113,151.25365404976174,33.94666351503779,24.11986836917049,260.58139859763224,118.60682758151609,195.71413775345087,28.46332944177665,36.16605851967718,137.0726733495565,227.44213086782344,163.35634759011384,181.4246569190887,185.62277020214958,222.62401495697807,111.97367760315827,27.197094783286513,78.1448575540003,98.54757626942934,1999-09-11
1999,10,11.753802041941446,23.502189035024777,65.0466769566506,131.33223106094252,40.95446241103308,51.555751172396924,96.70079730306716,70.66902508906477,114.41141340347937,87.64834203896353,235.8114838728105,208.8835102658627,101.01087802526462,22.279939080919696,34.13632630295787,108.65652718793511,74.90505277165403,104.50066587086026,77.30233165681368,173.9163340023806,391.8025920135652,82.85713676483084,82.53449862236535,273.5344510477006,57.57853911860021,254.9941089979519,49.520960128934064,141.3154625176486,172.86858218883276,57.886077633297404,69.97399266021563,45.88123677558242,217.41571359353122,38.510597126561585,28.767719963779435,281.8001065386729,96.45337325623451,210.0167386270211,38.74324982017494,30.826626530814877,145.8577373554557,264.1939633532562,203.5972974029915,232.134306263266,209.79148787974268,297.66041173367535,193.08708604980413,43.905210721984126,86.45127025036935,136.63530670335004,1999-010-11
1999,11,7.716008721190913,15.24773019703744,86.42764164291088,152.2052254654401,46.36259147061641,70.70072508670144,102.48493334262027,83.64965439552113,136.4506042675597,149.27896882711752,265.54490554355954,210.50810374046557,108.14532016682637,27.46894293495849,43.514319755240436,132.12473158448725,93.22907516250478,149.46570404419072,125.39950706028347,200.40380615718686,515.7947314647454,106.13792400582587,91.19425091369666,363.66689591787093,54.299816146919,345.34427345215283,67.17354460956444,188.819455716977,208.14392045555243,53.17532525677414,92.23434689545878,57.67700719776486,256.89561118133275,44.12464888344316,23.12145064431977,377.60506455984523,133.12489617520694,287.86860655683205,53.8086411422233,40.328214496689924,200.5015851384726,345.9268410963476,260.53958798655094,283.092323032196,258.31711545678286,380.8190733416341,227.05481769832406,51.970694340664494,127.92127693554391,172.32639748603395,1999-011-11
1999,12,12.122368418135943,27.68591247154224,103.38174706603729,201.55241959659642,37.15686965348184,71.02033511541798,78.86070294560862,67.42154164169607,156.11681592113416,143.16994258294946,200.50586744305411,171.97481893455063,61.92259596761616,28.247487610314014,54.813409054801745,170.72676227885532,98.48778087578847,226.71349260173136,179.4064162376073,140.2169345065965,560.9880445676002,82.34255674820473,78.26551449634704,377.0970424755651,47.28145649595975,411.4168054886725,69.23325182773884,238.23157309781308,234.4112982258973,63.30257524194396,112.02958070198888,58.38177286208443,219.5345509936756,40.138645198242486,27.383308850442543,408.27344268743605,143.01887714247468,312.78409554765557,41.039617390070575,30.71512970358863,159.28173810033118,365.1537725033294,230.38153792160867,286.513062735743,251.66562962469874,401.28237171544816,230.4893530902379,41.82919464136299,124.96207705848893,151.32120425254737,1999-012-11
2000,1,10.739747176838558,23.946981802414033,61.17491711010065,147.16473355587127,36.375582733408635,43.10153401815702,58.48217447456742,44.909907385982386,96.1806680305158,80.27905202387993,161.48750529871637,138.01390056517823,52.4194822198411,16.050619653600567,43.81280946580344,141.56557209608584,94.2016674840926,132.00477131021103,147.89322071319123,112.51910108239296,414.44394122445914,58.08755601289983,43.64741938318963,279.9798718855459,31.555563998967102,283.9168086595664,55.68049049961927,155.20341212546057,133.98464074452934,24.29285737350725,74.57234554882474,37.79212356712478,164.94824485625526,32.52133005360878,23.58350784342654,278.59444908099,103.07613786197747,209.43391881728783,27.23579139800136,28.79104301590649,122.81803373756387,240.2906387820478,167.7834520266035,189.98821671429334,171.5922094976552,287.38865700186653,181.20036925124649,38.471039644984224,97.45294127929392,110.99295407717887,2000-01-11
2000,2,48.87568125966016,36.51267732303472,76.9804209941598,202.53752275330228,26.34080173518489,87.93564275191626,76.365805867915,92.10529127611663,179.06112551611156,117.21366461089004,236.7630661176421,204.16782738183844,95.54131611205824,39.70012154065144,39.57617817534013,182.3711062204326,124.48204143688727,146.7033289220194,210.8353051796341,171.6812416965724,581.5035174522544,107.86076505294831,107.0579840488853,368.60936406463026,46.403387044875195,380.85457820301235,88.71918039358188,165.98910204829085,234.36857077203794,55.97207124792624,112.36016973541163,51.58983847940763,188.78147662079843,50.314342351549236,48.61615664188036,345.2380846868326,149.8237845624113,251.57551349278575,52.5411578445733,45.07659968247848,167.50474206039715,303.4416428605663,221.4748397692635,260.5594666036761,222.80823090894899,363.9421855188933,236.93509585386258,44.667690795390634,112.67909550428759,162.552957984531,2000-02-11
2000,3,94.18911433104785,38.546991118384646,93.19963077005706,263.1917070963848,33.19961790155093,71.38926134804078,96.05955360101855,80.96286545317777,204.02606825906415,114.76242131577936,271.31618588004346,224.37641660080843,90.61493094193298,35.99231964307234,45.16770092104222,237.27548914170083,163.03771660031686,226.04459753007703,276.32131766191344,185.3074501285808,680.9766896013679,102.69370224533789,122.96311054349218,433.22928131543614,53.63028228368674,431.1246359204413,90.27177563116773,180.907900532194,243.1462070624126,64.60860419788924,106.35510716044878,55.24310692640091,213.49989917385744,50.13928552431861,89.09344731164366,380.17774035507824,187.00229922439183,272.7219329618103,40.90920150580088,41.04022362280734,181.77076390345874,310.4238738347366,235.80759086850424,301.89672457472176,227.02356320264735,425.0997279154054,218.19417032012151,45.222809876441595,110.07663137279621,189.04404909951074,2000-03-11
2000,4,86.03026504334618,30.027164566826766,82.34028674014813,259.78668939753294,47.13377742033204,86.40226824607214,89.63611299416162,68.82159800866324,248.26307065661854,118.78372243824482,228.63309940873532,172.4692435650097,100.66386103587506,32.48753275085263,48.975348330776,253.01150856533263,205.63239384225585,118.81319462646418,284.4030927532928,167.57243360479436,716.8285810208754,104.77846316850379,106.29367563327521,383.58514831486383,74.8572301602989,404.4026428384372,93.54565844827546,164.31965210701242,234.74260196316612,53.09047658673878,76.49657551324793,80.57440123830969,187.92681746164843,48.69078241361189,65.99309576828597,345.7994645320016,147.5448086360899,233.8127357665218,42.045322006823895,45.790155601074396,153.7752483072969,275.05395642178746,200.5671802632905,259.2467703239175,234.8795448054339,386.494932906914,204.00578983643376,48.90727879325943,110.39694341302675,173.09224989264803,2000-04-11
2000,5,72.00152527021858,29.17417429724478,75.559246034133,306.6061934444503,35.68197574378892,72.17220456279257,75.89591107555742,68.85608200085188,241.350279664388,108.05383792609364,213.16340891471276,207.32450942655066,73.89639499631339,30.14112856833596,41.473575146871056,278.14061654603415,187.96690240075,103.9340073372133,304.050658272311,153.02232993434984,638.0843568077748,94.6375625841293,109.47473191226905,380.8121899179377,63.821673477269854,359.47522620104047,89.53740485594493,164.30167739957682,230.44404153933056,65.01036801600186,89.42465337688456,64.5868641824748,182.49541156960353,45.86760976952085,62.864715302054265,288.5932925687591,123.79987872803633,224.8199428549963,45.06192059062103,45.144520472522906,133.71612834965737,260.1719474300124,171.7100363384888,252.41872589450972,229.7948623371723,369.4446593698081,185.1759350143453,35.30640699553009,107.25253718602221,170.3391448430041,2000-05-11
