full_name,frequency
подозревать,12
юсуф инана,12
телезвезда,12
полиция,12
певица,12
майкл,12
черчесова,12
владимир драчев,12
джим макграт,12
владимир колоколец,12
юлий иванов,12
анатолий сердюк,12
озхий,12
захарий калашов,12
александр жаров,12
юный,12
виталий кличко,12
анджелина джоля,12
александр захарченко,12
сергей жигарев,12
власть,12
иосиф кобзон,12
колумбиец,12
петер сийяртый,12
конором макгрегор,12
юрий жирков,12
петер шмейхель,12
юрий газинский,12
джон,12
юрий витренко,12
федора емельяненко,12
тимати,12
уилла смит,12
пенсионерка,11
артур чарльз,11
хасан,11
софия,11
алексей миллер,11
джон хантсман,11
михаил боярский,11
селен гомес,11
мария,11
фанат,11
энтони лок,11
валентин юмашев,11
светлана петренко,11
иисус христос,11
илья репин,11
дэвид бекхэма,11
исландец,11
юрий долгорукий,11
александр мамонт,11
святой георгий,11
мелания,11
сергей семак,11
ричард макларен,11
герцогиня,11
александр пушкин,11
украинец,11
никола пашинян,11
родриго дутерот,11
самуэль бендетта,11
тим берглинга,11
подсудимый,11
белый,11
джамбулат умаров,11
бортпроводник,11
аслан усоян,11
эйнштейн,10
мосгорсуд,10
далее,10
андрей малахов,10
хан соло,10
зиявудин магомедов,10
иван ургант,10
дмитрия козак,10
олег,10
рианна,10
николай петров,10
уругваец,10
никки хейль,10
уэсса митчелла,10
конрад мюррей,10
аргентинец,10
иван,10
роспотребнадзор,10
виктория попов,10
турс,10
алин загитов,10
бэнкс,10
андрей бурсин,10
гоголь,10
владимир мединский,10
василий,10
александр коган,10
квентин тарантино,10
виктор мураховский,10
компания,10
джордж мартин,10
американский,10
флешмоб,10
андрей травниковый,10
петра симоненко,10
дмитрия рогозин,10
людмила улицкай,10
хорват,10
гарета бэйл,10
жорж мендеш,10
дмитрия захарченко,10
мошенник,10
джефф безос,10
игорь насалик,10
россия,10
сауля ниинист,10
сталин,10
абель эрнандес,10
хендрик ильвес,10
центробанк,10
александр медведев,10
кара делевинь,10
садио мане,10
вера,10
скрипаль,10
британка,10
хорст зеехофер,10
олег тиньковы,10
сулейман керим,10
огнить вуко,10
александр крушельницкий,10
михаил пучковский,10
виктория,10
леонид кравчук,10
антон красовский,10
игорь кабаненко,9
принц уильям,9
михаил ефрем,9
билл клинтон,9
евгений петросян,9
игорь родионов,9
герман стерлигов,9
браун истец,9
ди каприо,9
авакова,9
али хаменея,9
