city|description
Аве́рса| Италия, обл. Кампания
А́вес| о., Карибское море; Венесуэла
А́вес| о-ва, Карибское море, Малые Антильские о-ва; Венесуэла
А́веста| Швеция, лен Коппарберг
Авецца́но| Италия, обл. Аббруцци
Ави́зио| р., лев. приток р. Адидже; Италия
А́вила| Испания, адм. центр пров. Авила
А́вила| пров., Испания
Авиле́с| Испания, пров. Астурия
Авилья́но| Италия, обл. Базиликата
Авимо́р| Великобритания, Шотландия, обл. Хайленд
Ави́нет-Венни́н| к., Ливия
Авиньо́н| Франция, адм. центр деп. Воклюз
Ави́ш| Португалия, пров. Алту-Алентежу
Авла́нж| Бельгия, пров. Намюр
А́воб| р., Намибия и ЮАР, см. А́уоб, р.
Авр| р., лев. приток р. Эр; Франция
Авра́нш| Франция, деп. Манш
Австрали́йские А́льпы| горы, Австралия
Австра́лия| гос-во, на одноименном материке, о. Тасмания и прилегающих о-вах
Австра́лия| материк
Австра́ло-Антаркти́ческая котлови́на| Индийский океан; наибольшая глубина 6089 м
Австра́ло-Антаркти́ческое подня́тие| Индийский океан
А́встрия| Австри́йская Респу́блика, гос-во, Центральная Европа
Аг| м., сев.-зап. побережье п-ова Контантен; Франция
Агаде́с| Нигер
Агаджари́| Иран, остан Хузестан
Агади́р| Марокко, адм. центр пров. Агадир
Агади́р| пров., Марокко
Агале́га| о-ва, Индийский океан, к сев.-вост. от о. Мадагаскар; Маврикий
Ага́но| р., впадает в Японское море, о. Хонсю; Япония
Ага́нья| Марианские о-ва, адм. центр о. Гуам
Ага́ртала| Индия, шт. Трипура
А́гат| Марианские о-ва, о. Гуам
Ага́тти| о., Лаккадивское море, Лаккадивские о-ва; Индия
Агатту́| о., Тихий океан, Алеутские о-ва; США
Агбови́ль| Кот-д’Ивуар
Агве́| Бенин, см. Агуэ́
Агд| Франция, деп. Эро
Агд| м., южн. побережье Франции
А́геда| Португалия, пров. Бейра-Литорал
А́геда| р., лев. приток р. Дуэро; Испания
Агема́цу| Япония, преф. Нагано, о. Хонсю
А́гии-Де́ка| Греция, см. А́йи-Де́ка
А́гилас| Испания, пров. Мурсия
Агилафуэ́нте| Испания, пров. Сеговия
А́гион-О́рос| зал., Греция, см. Сингитико́с, зал.
А́гион-О́рос| ном, Греция, см. А́йон-О́рос, ном
А́гион-О́рос| п-ов, Греция, см. А́йон-О́рос, п-ов
А́гиос-Гео́ргиос| о., Греция, см. А́йос-Ео́рьос, о.
А́гиос-Иоа́ннис| м., Греция, см. А́йос-Иоа́нис, м.
А́гиос-Нико́лаос| Греция, см. А́йос-Нико́лаос
А́гиос-Эли́ас| г., Греция, см. А́йос-Или́ас, г.
Агире́шу| Румыния, уезд Клуж
А́гия-Де́ка| Греция, см. А́йи-Де́ка
Аги́я-Ру́мели| Греция, см. Айи́я-Ру́мели
Аги́я-Эвфими́я| Греция, см. Айи́я-Эффими́я
Агли́| р., впадает в Лионский зал. Средиземного моря; Франция
Агнебиле́кру| Кот-д’Ивуар, см. Аньибиле́кру
Агни́та| Румыния, уезд Сибиу
Агно́| Франция, деп. Нижний Рейн
Аго́ме-Пали́ме| Того, см. Кпали́ме
Агонда́нж| Франция, деп. Мозель
Аго́нья| р., лев. приток р. По; Италия
Агорда́т| Эфиопия, см. Акорда́т
А́гордо| Италия, обл. Венеция
А́гра| Индия, шт. Уттар-Прадеш
А́графа| Греция, ном Эвритания
А́гри| р., впадает в зал. Таранто Ионического моря; Италия
Агридже́нто| Италия, обл. Сицилия
Агри́нион| Греция, ном Этолия и Акарнания
