city|description
Банкала́н| Индонезия, пров. Восточная Ява; о. Мадура
Банкаху́лу| Индонезия, см. Бенку́лу (Банкаху́лу)
Ба́нко| Индонезия, пров. Джамби, о. Суматра
Банкра́на| Ирландия, граф. Донегол
Банкс| о., Канадский Арктический арх.; Канада
Банкс| о., прол. Хекате; зап. побережье Канады
Банкс| о-ва, Тихий океан, о-ва Новые Гебриды; Вануату
Банкс| п-ов, вост. побережье о. Южный; Новая Зеландия
Ба́нкура| Индия, шт. Западная Бенгалия
Ба́нкя| Болгария, окр. София-город
Банма́у| Бирма, адм. обл. Сикайн (Сагайн)
Банмо́| Бирма, нац. обл. Качин
Банн| р., впадает в Атлантический океан; Великобритания, Северная Ирландия
Ба́новичи| Югославия, Социалистическая Республика Босния и Герцеговина
Ба́новце| Чехословакия, см. Ба́новце-над-Бе́бравоу
Ба́новце-над-Бе́бравоу| Чехословакия, Западно-Словацкая обл.
Бансва́ра| Индия, шт. Раджастхан
Ба́нска-Би́стрица| Чехословакия, адм. центр Среднесловацкой обл.
Ба́нска-Штья́вница| Чехословакия, Среднесловацкая обл.
Ба́нско| Болгария, Благоевградский окр.
Банта́энг| Индонезия, пров. Южный Сулавеси, о. Сулавеси
Бантена́н| м., юго-вост. оконечность о. Ява; Индонезия
Ба́нтри| Ирландия, граф. Корк
Ба́нтри| зал., Атлантический океан; юго-зап. побережье Ирландии
Ба́ну| Афганистан, пров. Баглан
Банф| Великобритания, Шотландия, обл. Грампиан
Банф| Канада, пров. Альберта
Банф| нац. парк, Канада, пров. Альберта
Банфо́ра| Буркина-Фасо
Ба́нхори| Великобритания, Шотландия, обл. Грампиан
Банье́р-де-Биго́р| Франция, деп. Верхние Пиренеи
Банье́р-де-Люшо́н| Франция, деп. Верхняя Гаронна
Ба́ньо| Камерун
Баньо́лас| Испания, пров. Жерона
Ба́ньос-де-ла-Энси́на| Испания, пров. Хаэн
Баньюва́нги| Индонезия, пров. Восточная Ява; о. Ява
Ба́ньяк| о-ва, Индийский океан, у сев.-зап. побережья о. Суматра; Индонезия
Ба́ня-Лу́ка| Югославия, Социалистическая Республика Босния и Герцеговина
Баоа́нь| Китай, пров. Шэньси, см. Чжида́нь (Баоа́нь)
Баоа́нь| Китай, пров. Хэбэй, см. Чжолу́
Баоди́| Китай, гор. тер. Тяньцзинь
Баоди́н| Китай, пров. Хэбэй
Баодэ́| Китай, пров. Шаньси
Баои́н| Китай, пров. Цзянсу
Баоло́к| Вьетнам, пров. Ламдонг
Баолуньюа́нь (Чжаохуа́)| см. Чжаохуа́
Баонинъюа́нь| Китай, см. Чжаохуа́
Баоси́н| Китай, пров. Сычуань
Баоти́н| Китай, пров. Гуандун, о. Хайнань
Баото́у| Китай, авт. р-н Внутренняя Монголия
Баофы́н| Китай, пров. Хэнань
Баоцзи́| Китай, пров. Шэньси
Баоци́н| Китай, пров. Хунань, см. Шаоя́н (Баоци́н)
Баоци́н| Китай, пров. Хэйлунцзян
Баочэ́н| Китай, пров. Шэньси
Баоша́нь| Китай, гор. тер. Шанхай
Баоша́нь| Китай, пров. Юньнань
Бапо́м| Франция, деп. Па-де-Кале
Бар| Франция, деп. Нижний Рейн
Бар| Югославия, Социалистическая Республика Черногория
Бара́| Вьетнам, пров. Шонгбе
Ба́ра| Судан
Ба́рака| р. (на тер. Эфиопии — Ба́рка), впадения не имеет; Судан
Барака́льдо| Испания, пров. Бискайя
Ба́ракибара́к| Афганистан, адм. центр пров. Логар
Барако́а| Куба, пров. Гуантанамо
Ба́рам| р., впадает в Южно-Китайское море; Малайзия, о. Калимантан
Барама́нни| Гайана
Бара́н-ди-Гражау́| Бразилия, шт. Мараньян
Бара́нова| о., Тихий океан, арх. Александра; США
Баранте́н| Франция, деп. Приморская Сена
Бара́нув-Сандоме́рски| Польша, Тарнобжегское воев.
Ба́ранья| медье, Венгрия
Барао́на| Доминиканская Республика
Барао́на| Испания, пров. Сория
Ба́рат-Да́я| о-ва, море Банда; Индонезия
Бара́те| Индонезия, пров. Восточная Нуса-Тенгара, о. Тимор
Барау́ни| Индия, шт. Бихар
Бара́уэ| Сомали
Бара́хас-де-Ме́ло| Испания, пров. Куэнка
Барахе́йль| Афганистан, см. Нава́
Барбади́льо-де-Эрре́рос| Испания, пров. Бургос
Барба́дос| гос-во, Вест-Индия, на одноименном о-ве
Барба́дос| о., Атлантический океан; Малые Антильские о-ва
Ба́рбас| м., зап. побережье Африки; Западная Сахара
Барбасе́на| Бразилия, шт. Минас-Жерайс
Барба́те-де-Фра́нко| Испания, пров. Кадис
Барбезьё́| Франция, деп. Шаранта
Ба́рбертон| ЮАР, пров. Трансвааль
Барбо́са| Колумбия, деп. Сантандер
Барбу́да| о., Атлантический океан, Малые Антильские о-ва; Антигуа и Барбуда
Барва́ни| Индия, шт. Мадхья-Прадеш
Барво́| Бельгия, пров. Люксембург
Барга́| Китай, Тибетский авт. р-н
Барга́| географ. обл., Китай
Барга́ль| Сомали
Барда́и| Чад
Ба́рдастрандар| сисла, Исландия, см. Ве́стюр-Ба́рдастрандар, сисла и Э́йстюр-Ба́рдастрандар, сисла
Ба́рдеёв| Чехословакия, Восточно-Словацкая обл.
Барде́ра| Сомали, см. Барде́ре
Барде́ре| Сомали
Ба́рдже| Италия, обл. Пьемонт
Барди́я| Ливия
Ба́рдснес| м., Исландия, см. Ба́рдснесходн, м.
Ба́рдснесходн| м., вост. побережье о. Исландия
Ба́рдхаман| Индия, шт. Западная Бенгалия
Баре́ж| Франция, деп. Верхние Пиренеи
Баре́йли| Индия, см. Баре́ли
Баре́ли| Индия, шт. Уттар-Прадеш
Ба́ренца| о., Северный Ледовитый океан, о-ва Шпицберген; Норвегия
Ба́ренцбург| о. Западный Шпицберген, Норвегия
Ба́ренцево мо́ре| Северный Ледовитый океан
Ба́ри| Италия, обл. Апулия
Бариа́| Вьетнам, пров. Донгнай
Бари́нас| Венесуэла, адм. центр шт. Баринас
Бари́нас| шт., Венесуэла
Бари́сал| Бангладеш
Бари́то| р., впадает в Яванское море, о. Калимантан; Индонезия
Барка́| Китай, см. Барга́
Ба́рка| Ливия, см. Эль-Мардж
Ба́рка| р. (на тер. Судана — Ба́рака), впадения не имеет; Эфиопия
Ба́рка-ди-А́лва| Португалия, окр. Бейра-Алта
Барка́м| Китай, пров. Сычуань
Баркарро́та| Испания, пров. Бадахос
Баркё́ль| Китай, Синьцзян-Уйгурский авт. р-н
Баркё́ль| оз., Китай, Синьцзян-Уйгурский авт. р-н
Ба́ркинг| Великобритания, Англия, метроп. граф. Большой Лондон
Баркисиме́то| Венесуэла, адм. центр шт. Лара
Ба́ркли| плато, Австралия
Ба́ркли-Ист| ЮАР, Капская пров.
Ба́ркли-Уэ́ст| ЮАР, Капская пров.
Ба́рко-де-А́вила| Испания см. Эль-Ба́рко-де-А́вила
Барко́лдайн| Австралия, шт. Квинсленд
Барку́| р., Австралия, см. Ку́пер-Крик, р.
Баркэ́у| р. (на тер. Венгрии — Бе́реттьо), прав. приток р. Шебеш-Кёрёш; Румыния
Барлаве́нту| о-ва, Атлантический океан, о-ва Зелёного Мыса, см. Наве́тренные острова́ (Барлаве́нту)
Бар-ле-Дюк| Франция, адм. центр деп. Мёз
Барле́тта| Италия, обл. Апулия
Ба́рли| оз., Австралия, шт. Западная Австралия
Ба́рмер| Индия, шт. Раджастхан
Ба́рмут| Великобритания, Уэльс, граф. Гуинет
Барн| Нидерланды, пров. Утрехт
Барн-Блафф| г., выс. 1559 м, о. Тасмания; Австралия
Барневи́ль-Картере́| Франция, деп. Манш
Ба́рнегат| США, шт. Нью-Джерси
Ба́рнсли| Великобритания, Англия, адм. центр метроп. граф. Саут-Йоркшир
Ба́рнстапл| Великобритания, Англия, граф. Девон
Ба́рнстапл| зал., часть Бристольского залива Атлантического океана; Великобритания
Барнуи́к| о., прол. Ла-Манш; Франция
Ба́ро| Нигерия
Ба́ро| р., сливаясь с р. Пибор, образует р. Собат; Эфиопия и Судан
Бароги́ль| пер., выс. 3777 м, горн. сист. Гиндукуш; на границе Афганистана и Пакистана
Баро́да| Индия, см. Вадо́дара
Баро́унга| о-ва, Бенгальский зал. Индийского океана
Ба́рра| Бразилия, шт. Баия
Ба́рра| м., юго-вост. побережье Африки; Мозамбик
Ба́рра| о., Атлантический океан, Внешние Гебридские о-ва; Великобритания
Ба́рра| о-ва, Атлантический океан, Внешние Гебридские о-ва; Великобритания
Ба́рра| прол., Внешние Гебридские о-ва, между о-вами Барра и Саут-Уист; Великобритания
Ба́рраво| Великобритания, Шотландия, обл. Шетланд, о. Мейнленд
Ба́рра-ди-Итабапуа́на| Бразилия, шт. Эспириту-Санту
Ба́рра-ду-Ко́рда| Бразилия, шт. Мараньян
Ба́рра-ду-Параопе́ба| Бразилия, шт. Минас-Жерайс
Ба́рра-ду-Сан-Мануэ́л| Бразилия, шт. Пара
Барра́ка-да-Бо́ка| Бразилия, тер. Амапа
Баррака́н-ду-Барре́ту| Бразилия, шт. Мату-Гросу
Ба́рра-Ма́нса| Бразилия, шт. Рио-де-Жанейро
Барра́нка| Перу, деп. Лорето
Барра́нкаберме́ха| Колумбия, деп. Сантандер
Барра́нкас| р., сливаясь с р. Рио-Гранде, образует р. Рио-Колорадо (бас. Атлантического океана); Аргентина
Барранки́лья| Колумбия, адм. центр деп. Атлантико
Ба́рре| США, шт. Вермонт
Барре́йрас| Бразилия, шт. Баия
Барре́йру| Португалия, пров. Эстремадура
Барре́м| Франция, деп. Альпы Верхнего Прованса
Ба́ррен| о., Индийский океан, Андаманские о-ва; Индия
Ба́ррен| о-ва, Мозамбикский прол., Мадагаскар
Барре́тус| Бразилия, шт. Сан-Паулу
Ба́рри| Великобритания, Уэльс, граф. Саут-Гламорган
Ба́рри| Канада, пров. Онтарио
Ба́рроу| Великобритания, Англия, граф. Ланкашир
Ба́рроу| США, шт. Аляска
Ба́рроу| м., сев. побережье Аляски; США
Ба́рроу| о., Индийский океан; у сев.-зап. побережья Австралии
Ба́рроу| прол., Канадский Арктический арх., между о-вами Корнуоллис и Сомерсет; Канада
Ба́рроу| р., впадает в прол. Святого Георга; Ирландия
Ба́рроу-Крик| Австралия, Северная тер.
Ба́рру| Бразилия, тер. Рорайма
Барруэкопа́рдо| Испания, пров. Саламанка
Барруэ́ло-де-Сантулья́н| Испания, пров. Паленсия
Барсело́на| Венесуэла, адм. центр шт. Ансоатеги
Барсело́на| Испания, адм. центр пров. Барселона
Барсело́на| пров., Испания
Барселонне́т| Франция, деп. Альпы Верхнего Прованса
Барсе́лус| Бразилия, шт. Амазонас
Барсе́луш| Португалия, пров. Минью
Ба́рстоу| США, шт. Калифорния
Бар-сюр-Об| Франция, деп. Об
Бар-сюр-Сен| Франция, деп. Об
Барт| ГДР, окр. Росток
Барти́ка| Гайана
Ба́ртлсвилл| США, шт. Оклахома
Бартл-Фрир| г., выс. 1622 м; Австралия
Ба́ртон| Австралия, шт. Южная Австралия
Бартоши́це| Польша, Ольштынское воев.
Барты́н| Турция, иль Зонгулдаг
Бару́мун| р., впадает в Малаккский прол., о. Суматра; Индонезия
Бару́н-Бо́гдо-У́ла| г., Монголия, см. И́хбогдо-У́ла, г.
Бару́нсу| Монголия, Южно-Гобийский аймак
Бару́н-Урт| Монголия, адм. центр Сухэ-Баторского аймака
Бару́нхара| Монголия, Селенгинский аймак
Ба́руон| р., Австралия, см. Да́рлинг, р.
Барфлё́р| Франция, деп. Манш
Барфлё́р| м., сев.-вост. побережье п-ова Котантен; Франция
Бархе́д| Великобритания, Шотландия, обл. Стратклайд
Барч| Венгрия, медье Шомодь
Барче́во| Польша, Ольштынское воев.
Барчелло́на-По́ццо-ди-Го́тто| Италия, обл. Сицилия
Ба́рыч| р., прав. приток р. Одра; Польша
Барье́рный| хр., Австралия
Бас| о., Франция, см. Ба, о.
Бас| о-ва, Тихий океан; Французская Полинезия
Ба́са| Испания, пров. Гранада
Басанку́су| Заир
Баса́р| Того
Баса́ри| Того, см. Баса́р
Басеиду́| Иран, остан Хормозган
Ба́се-Са́нта-Су| Гамбия
Басиду́| Иран, см. Басеиду́
Баси́лан| о., арх. Сулу; Филиппины
Ба́скатонг| вдхр., Канада, пров. Квебек
Басо́| Китай, пров. Гуандун
Басо́ко| Заир
Басо́нго| Заир
Ба́сра| Ирак, адм. центр мухафазы Басра
Ба́сра| мухафаза, Ирак
Ба́сса| прол., Австралия, см. Ба́ссов проли́в
Басса́к| р. (вьет. — Хаузя́нг), один из рукавов дельты р. Меконг, впадает в Южно-Китайское море; Кампучия и Вьетнам
Басса́но-дель-Гра́ппа| Италия, обл. Венеция
Бассе́йн| Бирма, адм. центр адм. обл. Иравади
Бассе́йн| р., один из рукавов р. Иравади, впадает в Андаманское море; Бирма
Бассе́йн Ке́йна| прол., см. Кейн-Бе́йсин, прол.
Ба́ссетт| США, шт. Небраска
Ба́ссов проли́в| между материком Австралия и о. Тасмания
Ба́ссум| ФРГ, земля Нижняя Саксония
Басте́лика| Франция, деп. Южная Корсика
Бас-Тер| Малые Антильские о-ва, адм. центр о. Гваделупа
Басте́р| столица гос-ва Сент-Кристофер и Невис, о. Сент-Кристофер
Ба́сти| Индия, шт. Уттар-Прадеш
Ба́стия| Франция, адм. центр деп. Верхняя Корсика
Басто́нь| Бельгия, пров. Люксембург
Ба́строп| США, шт. Луизиана
Ба́стутреск| Швеция, лен Вестерботтен
Басуда́н-У́ла| г., выс. 6096 м; Китай
Бася́нь| Китай, пров. Хэбэй
Бат| Великобритания, Англия, граф. Эйвон
Бат| США, шт. Мэн
Ба́та| Экваториальная Гвинея, адм. центр Рио-Муни
Ба́та| р., Чад, см. Ба́тха, р.
Батабано́| зал., Карибское море; юго-зап. побережье о. Куба
Бата́вия| р., Австралия, см. Уэ́нлок, р.
Бата́к| Болгария, Пазарджикский окр.
Бата́кан| Индонезия, пров. Южный Калимантан, о. Калимантан
Бата́ла| Индия, шт. Пенджаб
Бата́м| о., Южно-Китайское море, к югу от п-ова Малакка; Индонезия
Бата́н| Китай, пров. Сычуань
Бата́н| о-ва, прол. Лусон; Филиппины
Бата́нгас| Филиппины, о. Лусон
Батанга́фо| ЦАР
Ба́танг-Берджу́нтай| Малайзия, шт. Селангор
Бата́нме| о., Индонезия, см. Мисо́ол (Бата́нме), о.
Бата́нта| о., Тихий океан, у сев.-зап. побережья о. Новая Гвинея; Индонезия
Ба́тасек| Венгрия, медье Тольна
Бате́йвия| США, шт. Нью-Йорк
Ба́терст| Австралия, шт. Новый Южный Уэльс
Ба́терст| Гамбия, см. Банжу́л
Ба́терст| Канада, пров. Нью-Брансуик
Ба́терст| зал., Северный Ледовитый океан, сев. побережье Канады
Ба́терст| м., сев.-зап. побережье Канады
Ба́терст| о., Тиморское море; Австралия
Ба́терст| о-ва, Канадский Арктический арх.; Канада
Ба́терст-И́нлет| Канада, Северо-Западные территории
Ба́тие| Буркина-Фасо
Батл| р., прав. приток р. Норт-Саскачеван; Канада
Ба́тлер| США, шт. Пенсильвания
Батл-Крик| США, шт. Мичиган
Батл-Ма́унтин| США, шт. Невада
Батл-Ха́рбор| Канада, пров. Ньюфаундленд
Батма́н| Турция, иль Сиирт
Ба́тна| Алжир, адм. центр вилайета Батна
Ба́тна| вилайет, Алжир
Ба́тон-Руж| США, адм. центр шт. Луизиана
Ба́трина| Югославия, Социалистическая Республика Хорватия
Батру́н| Ливан, мухафаза Северный Ливан
Баттамба́нг| Кампучия, адм. центр пров. Баттамбанг
Баттамба́нг| пров., Кампучия
Ба́ттеруэрт| Малайзия, шт. Пулау-Пинанг
Ба́ттеруэрт| ЮАР, Капская пров.
Баттикало́а| Шри-Ланка
Ба́ттонья| Венгрия, медье Бекеш
Батт-оф-Лью́ис| м., Внешние Гебридские о-ва, сев. побережье о. Льюис; Великобритания
Ба́ту| о-ва, Индийский океан, у зап. побережья о. Суматра; Индонезия
Ба́ту-А́ранг| Малайзия, шт. Селангор
Батуа́та| о., к юго-вост. от о. Сулавеси; Индонезия
Бату́брок| г., выс. 2240 м, о. Калимантан; Индонезия
Батуда́ка| о., зал. Томини Молуккского моря; Индонезия
Ба́ту-Паха́т| Малайзия, шт. Джохор
Батура́джа| Индонезия, пров. Южная Суматра, о. Суматра
Батури́| Камерун
Батурите́| Бразилия, шт. Сеара
Ба́тха| р., впадает в оз. Фитри; Чад
Ба́тчелор| Австралия, Северная тер.
Бат-Ям| Израиль
Ба́у| Малайзия, шт. Саравак, о. Калимантан
Бауба́у| Индонезия, пров. Юго-Восточный Сулавеси, о. Бутунг
Бауле́| р., сливаясь с р. Багоэ, образует р. Бани; Кот-д’Ивуар и Мали
Бауне́и| Италия, обл. Сардиния
Ба́унти| о-ва, Тихий океан; Новая Зеландия
Ба́урес| р., лев. приток р. Гуапоре; Боливия
Бауру́| Бразилия, шт. Сан-Паулу
Бау́с| Бразилия, шт. Мату-Гросу-ду-Сул
Ба́утцен| ГДР, окр. Дрезден
Ба́учи| Нигерия, адм. центр шт. Баучи
Ба́учи| шт., Нигерия
Ба́уэрс| б-ка, Берингово море, к сев.-зап. от Алеутских о-вов
Ба́фа| оз., Турция, иль Айдын и иль Мугла
Бафвасе́нде| Заир
Бафи́а| Камерун
Бафи́ло| Того
Бафи́нг| р., сливаясь с р. Бакой, образует р. Сенегал; Гвинея и Мали
Бафк| Иран, остан Исфахан
Ба́фра| Турция, иль Самсун
Ба́фра| м., сев. побережье Турции
Бафт| Иран, остан Керман
Бафулабе́| Мали
Ба́ффало| США, шт. Южная Дакота
Ба́ффало| оз., Канада, Северо-Западные территории
Ба́ффало (Бю́ффелсрифир)| р., лев. приток р. Тугела; ЮАР
Ба́ффина| море, между о-вами Баффинова Земля и Гренландия
Ба́ффинов зали́в| см. Ба́ффина, море
Ба́ффинова Земля́| о., Канадский Арктический арх.; Канада
Бахавалпу́р| Пакистан, пров. Пенджаб
Ба́ха-Верапа́с| деп., Гватемала
Бахари́я| оазис, Ливийская пустыня; Египет
Бахлу́й| р., прав. приток р. Жижия; Румыния
Ба́хо-Нуэ́во| б-ка, Карибское море
Бахрампу́р| Индия, шт. Западная Бенгалия
Бахр-Ау́к| р., прав. приток р. Шари; на границе Чада и ЦАР
Бахр-Дар| Эфиопия, пров. Годжам
Бахре́йн| Госуда́рство Бахре́йн, гос-во, Ближний Восток, на одноименных о-вах Персидского зал.
Бахре́йн| зал., часть Персидского залива, сев.-вост. побережье Аравийского п-ова
Бахре́йн| о-ва, Персидский зал. Индийского океана; Бахрейн
Бахр-Салама́т| р., прав. приток р. Шари; Чад
Бахр-эль-А́бьяд| р., Судан, см. Бе́лый Нил, р.
Бахр-эль-А́зрак| р., Судан, см. Голубо́й Нил, р.
Бахр-эль-А́раб| р., Судан, см. Эль-А́раб, р.
Бахр-эль-Газа́ль| пров., Судан
Бахр-эль-Газа́ль| р., Судан, см. Эль-Газа́ль, р.
Бахр-эль-Газа́ль| сух. русло, Чад, см. Эль-Газа́ль, сух. русло
Бахр-эль-Дже́бель| р., Судан, см. Нил, р.
Бахтара́н| Иран, адм. центр остана Бахтаран
Бахтара́н| остан, Иран
Бахтиа́рия| горн. обл., Иран
Бахтиа́рия и Чеха́рмеха́ль| остан, Иран
Баху́| р., Иран, см. Дештъяри́, р.
Бахукела́т| Иран, остан Систан и Белуджистан
Ба́чальмаш| Венгрия, медье Бач-Кишкун
Ба́чан| о., Молуккское море; Индонезия
Бачжу́н| Китай, пров. Сычуань
Бачи́| Вьетнам, пров. Бенче
Ба́чка-Па́ланка| Югославия, Социалистическая Республика Сербия
Ба́чка-Топо́ла| Югославия, Социалистическая Республика Сербия
Бач-Ки́шкун| медье, Венгрия
Ба́чково| Болгария, Пловдивский окр.
Ба́чко-Пе́трово-Се́ло| Югославия, Социалистическая Республика Сербия
Бачу́| Китай, см. Мара́лбаши́ (Бачу́)
Ба́шай| Албания
Баши́| ЮАР, Капская пров.
Ба́ши| прол., между о. Тайвань и о-вами Батан
Башкале́| Турция, иль Ван
Башт| Иран, остан Бойерахмеди и Кохгилуйе
Баэ́на| Испания, пров. Кордова
Баэ́са| Испания, пров. Хаэн
Ба́я| Румыния, уезд Тулча
Ба́я-де-Ара́мэ| Румыния, уезд Мехединци
Ба́я-Ма́ре| Румыния, адм. центр уезда Марамуреш
Баями́та| Куба, пров. Сантьяго-де-Куба
Бая́мо| Куба, пров. Гранма
Баямо́н| Большие Антильские о-ва; о. Пуэрто-Рико
Ба́ян| Монголия, Арахангайский аймак
Ба́ян| Монголия, Гоби-Алтайский аймак
Ба́ян-А́трек| Монголия, см. Хо́нгор
Ба́янбу́лак| Монголия, Баянхонгорский аймак
Ба́янбу́лак| Монголия, Хэнтэйский аймак
Бая́н-Гол| Китай, авт. р-н Внутренняя Монголия
Ба́янмунх| Монголия, Восточно-Гобийский аймак
Бая́н-О́бо| Китай, авт. р-н Внутренняя Монголия
Ба́янсайр| Монголия, Баянхонгорский аймак
Ба́ян-У́ла| Монголия, Дзабханский аймак
Ба́ян-У́лэгэй| Монголия, см. У́лэгэй
Ба́ян-Улэгэ́йский айма́к| Монголия
Бая́н-Хара́-У́ла| хр., Китай
Ба́янхо́нгор| Монголия, адм. центр Баянхонгорского аймака
Ба́янхонго́рский айма́к| Монголия
Бая́н-Хо́то| Китай, авт. р-н Внутренняя Монголия
Бая́н-Худжэ́н| Китай, см. Бая́н-Хурэ́
Бая́н-Хурэ́| Китай, авт. р-н Внутренняя Монголия
Ба́янху́шу| Монголия, Кобдоский аймак
Бая́нь| Китай, пров. Хэйлунцзян
Ба́ясга́лант| Монголия, Сухэ-Баторский аймак
Бая́-Спри́е| Румыния, уезд Марамуреш
Бва́ке| Кот-д’Ивуар, см. Буа́ке
Бвар| ЦАР, см. Буа́р
Бве́нга-Сул| Ангола
Беа́рн| ист. обл., Франция
Бе́ас-де-Сегу́ра| Испания, пров. Хаэн
Беа́та| м., южн. побережье о. Гаити; Доминиканская Республика
Беа́та| о., Карибское море, у южн. побережья о. Гаити; Доминиканская Республика
Беа́та| подв. хр., Карибское море, к югу от о. Гаити
Бебедо́ру| Бразилия, шт. Сан-Паулу
Бе́бжа| р., прав. приток р. Нарев; Польша
Бё́блинген| ФРГ, земля Баден-Вюртемберг
Бе́бра| ФРГ, земля Гессен
Бе́брово| Болгария, Великотырновский окр.
Бе́вензен| ФРГ, земля Нижняя Саксония
Бе́вервейк| Нидерланды, пров. Северная Голландия
Бе́веридж| риф, Тихий океан, к вост. от о-вов Тонга (Дружбы); влад. Новой Зеландии
Бе́верли| Великобритания, Англия, граф. Хамберсайд
Бе́га| р. (на тер. Югославии — Бе́гей), лев. приток р. Тиса; Румыния
Бе́гей| р. (на тер. Румынии — Бе́га), лев. приток р. Тиса; Югославия
Беге́мдер| пров., Эфиопия, см. Го́ндэр, пров.
Бё́гёте| Венгрия, медье Ваш
Бе́гна| р., впадает в оз. Тюрифьорд; Норвегия
Бё́да| Швеция, лен Кальмар, о. Эланд
Бё́дал| Норвегия, фюльке Согн-ог-Фью-ране
Бе́дар| Испания, пров. Альмерия
Бедарьё́| Франция, деп. Эро
Беда́ут| о., Индийский океан; у сев.-зап. побережья Австралии
Бе́деркеза| ФРГ, земля Нижняя Саксония
Бе́джа| Тунис, адм. центр вилайета Беджа
Бе́джа| вилайет, Тунис
Беджаи́я| Алжир, адм. центр вилайета Беджаия
Беджаи́я| вилайет, Алжир
Беджаи́я| зал., Средиземное море, сев. побережье Африки; Алжир
Беджеста́н| Иран, остан Хорасан
Бе́дфорд| Великобритания, Англия, адм. центр граф. Бедфордшир
Бе́дфорд| США, шт. Индиана
Бе́дфорд| ЮАР, Капская пров.
Бе́дфордшир| граф., Великобритания, Англия
Бе-дю-Пост (Пост-Мистасси́ни)| Канада, пров. Квебек
Бе́жа| Португалия, адм. центр пров. Байшу-Алентежу
Бежа́ново| Болгария, Ловечский окр.
Безансо́н| Франция, адм. центр деп. Ду
Бе́здружице| Чехословакия, Западно-Чешская обл.
Безье́| Франция, деп. Эро
Бей| г., выс. 2792 м; Турция
Бе́йарн| Норвегия, фюльке Нурланн
Бейг-Пени́нсьюла| Канада, Северо-Западные территории, о. Элсмир
Бе́йдин| США, шт. Северная Каролина
Бе́йзингсток| Великобритания, Англия, граф. Гэмпшир
Бе́йкер| США, шт. Монтана
Бе́йкер| США, шт. Орегон
Бе́йкер| влк., выс. 3285 м, горн. сист. Кордильеры; США
Бе́йкер| о., Тихий океан, к вост. от о-вов Гилберта; влад. США
Бе́йкер| оз., Канада, Северо-Западные территории
Бе́йкер-Лейк| Канада, Северо-Западные территории
Бе́йкерсфилд| США, шт. Калифорния
Бейла́| Гвинея
Бе́йлен| Нидерланды, пров. Дренте
Бейо́нн| США, шт. Нью-Джерси
Бейпазары́| Турция, иль Анкара
Бе́йра| Мозамбик
Бе́йра-А́лта| пров., Португалия
Бе́йра-Ба́йша| пров., Португалия
Бе́йра-Литора́л| пров., Португалия
Бейру́т| столица Ливана
Бейру́т| мухафаза, Ливан
Бейса́н| Израиль, см. Бет-Шеа́н
Бей-Си́ти| США, шт. Мичиган
Бей-Си́ти| США, шт. Техас
Бе́йтенпост| Нидерланды, пров. Фрисландия
Бейт-Лахм (Вифлее́м)| Иордания
Бе́йтсвилл| США, шт. Арканзас
Бейт-Шеа́н| Израиль, см. Бет-Шеа́н
Бейт-Э́шель| Израиль, см. Бет-Э́шель
Бейтю́шшебац| Турция, иль Хаккяри
Бейшехи́р| Турция, иль Конья
Бейшехи́р| оз., Турция, иль Ыспарта и иль Конья
Бейшимо́| Канада, см. Уми́нгма́кток (Бейшимо́)
Бе́ка| мухафаза, Ливан, см. Бека́а, мухафаза
Бека́а| долина, Ливан
Бека́а| мухафаза, Ливан
Беква́й| Гана
Бе́кенем| Великобритания, Англия, метроп. граф. Большой Лондон
Бё́кёнь| Венгрия, медье Сабольч-Сатмар
Беке́т| Румыния, уезд Долж
Бе́кеш| Венгрия, медье Бекеш
Бе́кеш| медье, Венгрия
Бе́кешчаба| Венгрия, адм. центр медье Бекеш
Беки́ли| Мадагаскар
Бе́кке| Дания, амт Рибе, п-ов Ютландия
Бе́ккинген| ФРГ, земля Саар
Бе́ккум| ФРГ, земля Северный Рейн-Вестфалия
Бе́кли| США, шт. Западная Виргиния
Бекля́н| Румыния, уезд Бистрица-Нэсэуд
Бе-Комо́| Канада, пров. Квебек
Бе́ксли| Великобритания, Англия, метроп. граф. Большой Лондон
Бе́ксхилл| Великобритания, Англия, граф. Восточный Суссекс
Бе́ла| Пакистан, пров. Белуджистан
Бела́ван| Индонезия, пров. Северная Суматра, о. Суматра
Бе́ла-Ви́ста| Бразилия, шт. Мату-Гросу-ду-Сул
Бела́га| Малайзия, шт. Саравак, о. Калимантан
Бела́джау| оз., о. Калимантан; Индонезия
Белалька́сар| Испания, пров. Кордова
Бе́ла-Па́ланка| Югославия, Социалистическая Республика Сербия
Бела́сица| горы (на тер. Греции — Керки́ни); на границе Болгарии, Югославии и Греции
Бе́ла-Сте́на| Югославия, Социалистическая Республика Сербия
Бе́ла-Црква| Югославия, Социалистическая Республика Сербия
Бе́лая Во́льта| р., сливаясь с р. Чёрная Вольта, образует р. Вольта; Буркина-Фасо и Гана
Белве́р| Португалия, пров. Алту-Алентежу
Бе́лвилл| Канада, пров. Онтарио
Бе́лвилл| ЮАР, Капская пров.
Белга́он| Индия, шт. Карнатака
Белга́ум| Индия, см. Белга́он
Белгра́д| столица Югославии
Бе́лед-Синджа́р| Ирак, см. Синджа́р
Беледуэ́йне| Сомали
Беле́н| Бразилия, адм. центр шт. Пара
Беле́н| Панама
Беле́н| Франция, деп. Жиронда
Бе́лене| Болгария, Плевенский окр.
Бе́леп| о-ва, Тихий океан, у сев. берегов о. Новая Каледония; влад. Франции
